,Season;HomeTeam;AwayTeam;1HHG;1HAG;1HR;2HHG;2HAG;2HR;FTHG;FTAG;FTR;1HSumGoals;2HSumGoals;FTSumGoals;1HR;2HR;FTR;2.5;Winner;BothScored;2.5/Winner;2.5/BothScored;Winner/BothScored;Result
0,2008-09;Arsenal;West Brom;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
1,2008-09;Bolton;Stoke;3;0;1;0;1;2;3;1;1;3;1;4;3:0;0:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
2,2008-09;Everton;Blackburn;1;1;0;1;2;2;2;3;2;2;3;5;1:1;1:2;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
3,2008-09;Hull;Fulham;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
4,2008-09;Middlesbrough;Tottenham;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
5,2008-09;Sunderland;Liverpool;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
6,2008-09;West Ham;Wigan;2;0;1;0;1;2;2;1;1;2;1;3;2:0;0:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
7,2008-09;Aston Villa;Man City;0;0;0;4;2;1;4;2;1;0;6;6;0:0;4:2;4:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;4:2
8,2008-09;Chelsea;Portsmouth;3;0;1;1;0;1;4;0;1;3;1;4;3:0;1:0;4:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;4:0
9,2008-09;Man United;Newcastle;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
10,2008-09;Blackburn;Hull;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
11,2008-09;Fulham;Arsenal;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
12,2008-09;Liverpool;Middlesbrough;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
13,2008-09;Newcastle;Bolton;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
14,2008-09;Stoke;Aston Villa;1;0;1;2;2;0;3;2;1;1;4;5;1:0;2:2;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
15,2008-09;Tottenham;Sunderland;0;0;0;1;2;2;1;2;2;0;3;3;0:0;1:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
16,2008-09;West Brom;Everton;0;0;0;1;2;2;1;2;2;0;3;3;0:0;1:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
17,2008-09;Man City;West Ham;0;0;0;3;0;1;3;0;1;0;3;3;0:0;3:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
18,2008-09;Wigan;Chelsea;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
19,2008-09;Portsmouth;Man United;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
20,2008-09;Arsenal;Newcastle;2;0;1;1;0;1;3;0;1;2;1;3;2:0;1:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
21,2008-09;Bolton;West Brom;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
22,2008-09;Everton;Portsmouth;0;2;2;0;1;2;0;3;2;2;1;3;0:2;0:1;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
23,2008-09;Hull;Wigan;0;2;2;0;3;2;0;5;2;2;3;5;0:2;0:3;0:5;+2.5;2;no;+2.5/2;+2.5/no;2/no;5:0
24,2008-09;Middlesbrough;Stoke;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
25,2008-09;West Ham;Blackburn;2;1;1;2;0;1;4;1;1;3;2;5;2:1;2:0;4:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;4:1
26,2008-09;Aston Villa;Liverpool;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
27,2008-09;Chelsea;Tottenham;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
