,Season,HomeTeam,AwayTeam,1HHG,1HAG,1HR,2HHG,2HAG,2HR,FTHG,FTAG,FTR,1HSumGoals,2HSumGoals,FTSumGoals,1HScore,2HScore,FTScore,2.5,Winner,BothScored,2.5/Winner,2.5/BothScored,Winner/BothScored,Result,HalfTvsFullT
0,2008-09,Arsenal,West Brom,1,0,1,0,0,X,1,0,1,1,0,1,1:0,0:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,1/1
1,2008-09,Bolton,Stoke,3,0,1,0,1,2,3,1,1,3,1,4,3:0,0:1,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,1/1
2,2008-09,Everton,Blackburn,1,1,X,1,2,2,2,3,2,2,3,5,1:1,1:2,2:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:2,X/2
3,2008-09,Hull,Fulham,1,1,X,1,0,1,2,1,1,2,1,3,1:1,1:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1
4,2008-09,Middlesbrough,Tottenham,0,0,X,2,1,1,2,1,1,0,3,3,0:0,2:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1
5,2008-09,Sunderland,Liverpool,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2
6,2008-09,West Ham,Wigan,2,0,1,0,1,2,2,1,1,2,1,3,2:0,0:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1
7,2008-09,Aston Villa,Man City,0,0,X,4,2,1,4,2,1,0,6,6,0:0,4:2,4:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:2,X/1
8,2008-09,Chelsea,Portsmouth,3,0,1,1,0,1,4,0,1,3,1,4,3:0,1:0,4:0,2.5,1,no,+2.5/1,+2.5/no,1/no,4:0,1/1
9,2008-09,Man United,Newcastle,1,1,X,0,0,X,1,1,X,2,0,2,1:1,0:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X
10,2008-09,Blackburn,Hull,1,1,X,0,0,X,1,1,X,2,0,2,1:1,0:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X
